 Customer Name ;Jan-19;Feb-19;Mar-19;Apr-19;May-19;Jun-19;Jul-19;Aug-19;Sep-19;Oct-19;Nov-19;Dec-19;Jan-20;Feb-20;Mar-20;Apr-20;May-20;Jun-20;Jul-20;Aug-20;Sep-20;Oct-20;Nov-20;Dec-20;Jan-21;Feb-21;Mar-21;Apr-21;May-21;Jun-21;Jul-21;Aug-21;Sep-21;Oct-21;Nov-21;Dec-21;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22
A;;;;;;;;;; 1.190.000 ;; 505.000 ; 210.000 ; 220.000 ; 105.000 ; - ; 308.750 ; 99.750 ; 841.500 ; 85.000 ;-85.000 ; 275.000 ; 220.000 ; 832.500 ; - ; 105.000 ; 382.500 ; 390.000 ; 955.000 ; 957.500 ; - ; 957.500 ; 1.942.500 ; 3.190.750 ; 452.500 ; 1.350.000 ; 1.255.500 ; 470.000 ; 1.000.000 ; 1.092.000 ; 954.300 ; 1.060.050 ; 593.850 
AA;;;;;;;;;;; 6.590.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AB;;;;;;;; 1.255.000 ; 2.070.000 ; 2.150.000 ; 1.020.000 ; 2.950.000 ; 1.335.000 ; 2.320.000 ; - ; - ; - ; - ; 595.000 ; - ; - ; - ; 1.771.750 ;-255.000 ; - ; 1.330.000 ; - ; 1.620.000 ; - ; 680.000 ; - ; - ; 850.000 ; 1.020.000 ; - ; 1.020.000 ; 425.000 ; - ; 400.000 ; - ; 566.100 ; - ; 566.100 
AC;;;;;; 1.735.000 ; 620.000 ;; 350.000 ; 425.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;; 1.020.000 ; - ; - ; - ; - ; - ; - 
AD;;;;;;;;;;; 430.000 ;; 585.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
AE;;;;;; 2.195.000 ; 490.000 ; 670.000 ;-390.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AF;;; 900.000 ; 170.000 ; 340.000 ; 170.000 ; 380.000 ;;; 180.000 ;; - ; - ; - ; 390.000 ; 190.000 ; 180.500 ; 465.500 ; - ; - ; 115.000 ; - ; - ; 390.000 ; - ; 105.000 ; - ; 305.000 ; 570.000 ; - ; - ; - ; - ; - ; 100.000 ; - ;;;;;;;
AG;;;;;; 1.355.000 ; 180.000 ;; 265.000 ;;;; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 455.000 ; - ; - ; 155.000 ; 320.000 ; - ; - ; 130.000 ; - ; 250.000 ; - ; - ; - ;;;;;;;
AH; 2.615.000 ;; 2.615.000 ; 540.000 ; 1.135.000 ; 1.250.000 ; 1.020.000 ; 1.020.000 ; 1.020.000 ; 1.020.000 ; 1.190.000 ; 1.020.000 ; 850.000 ; 935.000 ; 180.000 ; - ; 413.250 ; 484.500 ; 745.250 ; 595.000 ; 484.500 ; 180.000 ; - ; 265.000 ;;;;;;;;;;;;;;;;;;;
AI;;;;;;; 7.000.000 ; 280.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AJ;;;;;;;;; 2.992.500 ;; 2.888.000 ; 2.907.000 ; - ; - ; - ; - ; - ; - ; - ; - ; 1.080.000 ; 510.000 ; 510.000 ; - ; 710.000 ; - ; - ; 1.900.000 ; 1.190.000 ; 1.050.000 ; - ; - ; - ; - ; - ; - ;;;;;;;
AK;;;;;;;;; 1.175.000 ; 1.530.000 ; 1.745.000 ; 790.000 ; 995.000 ; 380.000 ; 890.000 ; - ; - ; - ; - ; - ; - ; - ; - ; - ;;;;;;;;;;;;; - ; 195.000 ; - ; - ; - ; - ; - 
AL;;;;;;;;; 300.000 ; 155.000 ; 155.000 ; 155.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AM;;;; 800.000 ;; 790.000 ;;;; 600.000 ; 990.000 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AN;;;;;;;;;;; 1.450.000 ;; - ; - ; 4.125.000 ; - ; - ; - ; 5.917.500 ; - ; - ; - ; - ; - ;;;;;;;;;;;;;;;;;;;
AO; 950.000 ; 200.000 ; 940.000 ; 550.000 ; 200.000 ; 930.000 ; 840.000 ; 400.000 ; 630.000 ; 400.000 ; 1.430.000 ; 400.000 ; 750.000 ; 400.000 ; 410.000 ; - ; - ; - ; 270.000 ; 590.000 ; 140.000 ; - ; 315.000 ; 340.000 ; 185.000 ; 900.000 ; 685.000 ; 385.000 ; 230.000 ; 680.000 ; - ; - ; 480.000 ; 280.000 ; 350.000 ; 365.000 ; - ; 210.000 ; 365.000 ; 350.000 ; 210.000 ; 140.000 ; 155.400 
AP; 2.290.000 ;; 750.000 ; 150.000 ;;;; 890.000 ; 835.000 ;; 1.030.000 ; 1.300.000 ; 1.235.000 ;-170.000 ; 1.235.000 ; - ; - ; 840.750 ; 926.250 ; 1.054.500 ; 1.616.000 ; 836.000 ; 1.017.500 ; 905.000 ; 780.000 ; - ; 741.000 ; 1.750.000 ; 793.250 ; 1.334.750 ; - ; - ; 703.000 ; 1.254.000 ; 807.500 ; - ; 1.360.000 ; - ; 926.250 ; - ; - ; 1.442.822 ; 1.270.673 
