;2019;2020;2021;2022
January; 324.854.931 ; 294.273.626 ; 164.209.594 ; 287.164.340 
February; 75.258.184 ; 155.848.041 ; 139.123.527 ; 235.575.903 
March; 377.409.413 ; 773.861.888 ; 206.851.985 ; 390.871.727 
April; 541.973.001 ; 20.034.264 ; 159.483.301 ; 239.011.690 
May; 417.465.944 ; 35.195.251 ; 200.549.369 ; 239.665.501 
June; 315.962.584 ; 110.867.490 ; 306.813.813 ; 295.169.398 
July; 379.571.849 ; 156.556.847 ; 160.889.162 ; 263.801.556 
August; 371.828.503 ; 129.006.083 ; 162.687.568 ;
September; 353.824.668 ; 111.900.512 ; 295.035.794 ;
October; 248.108.096 ; 144.941.458 ; 299.567.090 ;
November; 525.856.479 ; 186.836.087 ; 211.042.965 ;
December; 904.077.053 ; 358.430.492 ; 398.358.701 ;
