ds;country;polygon_source;polygon_id;polygon_name;changeofmovement;stayput;baseline_name;baseline_type;;provinsi
Apr-20;IDN;GADM;IDN.9.2_1;Bandung;-0.350372667;0.295876333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.9.1_1;Bandung Barat;-0.373446;0.292573;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.1_1;Bangkalan;-0.266026667;0.238597;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.13.3_1;Banjar;-0.264420333;0.2401595;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.10.1_1;Banjarnegara;-0.326435333;0.294383667;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.33.1_1;Bantul;-0.333101333;0.241428667;full_february;DAY_OF_WEEK;;Yogyakarta
Apr-20;IDN;GADM;IDN.10.2_1;Banyumas;-0.337111667;0.278322;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.2_1;Banyuwangi;-0.243962;0.245888;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.3_1;Batang;-0.190728;0.224756333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.11.3_1;Batu;-0.378098667;0.27555;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.9.4_1;Bekasi;-0.317951333;0.259719;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.4_1;Blitar;-0.276393667;0.249493333;full_february;DAY_OF_WEEK;;Jawa Timur
Apr-20;IDN;GADM;IDN.10.4_1;Blora;-0.25959;0.236001333;full_february;DAY_OF_WEEK;;Jawa Tengah
Apr-20;IDN;GADM;IDN.9.5_1;Bogor;-0.382352;0.282970333;full_february;DAY_OF_WEEK;;Jawa Barat
Apr-20;IDN;GADM;IDN.11.5_1;Bojonegoro;-0.262489667;0.238712333;full_february;DAY_OF_WEEK;;Jawa Timur
